"DyadId","ConflictId","Year","Location","GWNoLoc","SideA","GWNoA","SideA2nd","GWNoA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","TypeOfConflict","rebel_age","origin","origin.name","parent.org.subset","splinter.source","ideology","extraterritorial","rebpolwing","rebpolwinglegal","rebestimate","rebestlow","rebesthigh","rebstrength","centcontrol","strengthcent","mobcap","armsproc","fightcap","terrcont","terrname","effterrcont","conflicttype","transconstsupp","rebextpart","rebpresosts","presname","rebel.support","rtypesup","rsupname","gov.support","gtypesup","gsupname","govextpart","type.of.termination","prevactive","rebpolwing_bin","transconstsupp_bin","rebextpart_bin","rebpresosts_bin","rebel.support_bin","gov.support_bin","govextpart_bin","conflicttype_recode","duration","tot_eth","tot_eth_countries","eth_claim","eth_recruitment","eth_support","excluded","power_sharing","absolute","reg_aut","upgrade","downgrade","maxsize","minsize","new_ep","monoeth","multieth","noneth","new.joiner","new.splinter","new.alliance","new.mono.alliance","new.multi.alliance","splinter","alliance","joiner","originator","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd","mtnest","Oil","ethfrac","relfrac","country_ethnic","country_excluded","oilpc","oil.pc.exports","pop","realgdp","rgdppc","area","polity2","mediation","cont_interstate","cont_civil","cont_maxint","external_supporters","loot.dia","loot.gem","loot.gold","loot.oil","loot.drugs","lootable","tot.resource.sites","BdBest"
3,"1-191",1996,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",2,"internal",3,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,5,5,5,5,0,NA,NA,NA,0,3,-1.7215541942125,0.223199990244922,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,17351.166330528,92.0511179726995,28566,106813.17,3739.17,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,1059
3,"1-191",1997,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",2,"internal",4,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,5,0,NA,NA,NA,0,0,-1.77221259474856,0.227056592632754,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,15085.4422896666,96.3196540806339,29050,108019.91,3718.41,2381740,-3,0,0,1,1,1,1,0,1,1,0,1,18,1363
3,"1-191",1998,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",2,"internal",5,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,5,5,5,5,0,NA,NA,NA,0,4,-1.56817965400574,0.222912893078472,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,7902.39627750973,96.2168281502199,30081,115808.23,3849.88,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,3029
3,"1-191",1999,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",6,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,5,5,0,NA,NA,NA,0,0,-1.57233778061676,0.22641231472385,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,11934.8392275331,96.484431698099,30774,120477.77,3914.92,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,965
3,"1-191",2000,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",7,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,5,4,NA,5,0,NA,NA,NA,0,4,-1.2070381757502,0.221581763602444,15.6999998092651,NA,0.435273408889771,NA,2,1,22659.4288562197,97.2221360372158,31471,124077.49,3942.6,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,25
3,"1-191",2001,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",8,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,5,4,NA,5,0,NA,NA,NA,0,4,-1.10240756908985,0.222394964785934,15.6999998092651,NA,0.435273408889771,NA,2,1,19417.758502192,96.6119747287495,30872,123253.88,3992.42,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,136
3,"1-191",2002,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",9,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,4,NA,5,0,NA,NA,NA,0,2,-1.10859527734381,0.222009235636415,15.6999998092651,NA,0.435273408889771,NA,2,1,20913.0656173778,96.1053677409582,31332,129079.41,4119.73,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,34
3,"1-191",2003,"Algeria","615","Government of Algeria",615,"","","GIA",1390,"","government","",1,"internal",10,"alliance","",0,1,"Islamic State",0,"no",NA,1525,50,3000,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","tacit","alleged","some","Morocco",NA,"military","Sudan; possibly Iran",NA,"military","France; Egypt; Tunisia; Niger","no","low activity",0,0,1,1,1,NA,NA,0,"civil war",4016,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,4,NA,6,0,NA,NA,NA,0,1,-1.11911110117857,0.229166426491321,15.6999998092651,NA,0.435273408889771,NA,2,1,29740.9906034238,97.2668463384999,31848,138300.94,4342.53,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,25
4,"1-191",1999,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",0,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,5,5,5,0,NA,NA,NA,0,0,-1.57233778061676,0.22641231472385,15.6999998092651,1,0.435273408889771,0.0198000073432922,2,1,11934.8392275331,96.484431698099,30774,120477.77,3914.92,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,51
4,"1-191",2000,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",1,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,5,4,NA,5,0,NA,NA,NA,0,4,-1.2070381757502,0.221581763602444,15.6999998092651,NA,0.435273408889771,NA,2,1,22659.4288562197,97.2221360372158,31471,124077.49,3942.6,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,906
4,"1-191",2001,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",2,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,5,4,NA,5,0,NA,NA,NA,0,4,-1.10240756908985,0.222394964785934,15.6999998092651,NA,0.435273408889771,NA,2,1,19417.758502192,96.6119747287495,30872,123253.88,3992.42,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,506
4,"1-191",2002,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",3,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,4,NA,5,0,NA,NA,NA,0,2,-1.10859527734381,0.222009235636415,15.6999998092651,NA,0.435273408889771,NA,2,1,20913.0656173778,96.1053677409582,31332,129079.41,4119.73,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,504
4,"1-191",2003,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",4,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,4,NA,6,0,NA,NA,NA,0,1,-1.11911110117857,0.229166426491321,15.6999998092651,NA,0.435273408889771,NA,2,1,29740.9906034238,97.2668463384999,31848,138300.94,4342.53,2381740,-3,0,0,0,-Inf,0,1,0,1,1,0,1,18,645
4,"1-191",2004,"Algeria","615","Government of Algeria",615,"Government of Chad, Government of Mali, Government of Niger","483, 432, 436","AQIM",1391,"","government","",1,"internationalized",5,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,4,4,NA,5,0,NA,NA,NA,0,5,-0.807340271325446,0.22014823506537,15.6999998092651,NA,0.435273408889771,NA,2,1,42218.0766731603,97.378685611964,32364,145692.19,4501.67,2381740,2,0,0,0,-Inf,0,1,0,1,1,0,1,18,451
4,"1-191",2005,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",6,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,4,4,NA,5,0,NA,NA,NA,0,5,-0.68275778952207,0.220290857529745,15.6999998092651,NA,0.435273408889771,NA,2,1,66190.3022701072,98.0278643545193,32906,153459.94,4663.59,2381740,2,0,0,0,-Inf,0,1,0,1,1,0,1,18,229
4,"1-191",2006,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",7,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,NA,NA,0,NA,NA,NA,0,1,-0.678472551545599,0.221257111444886,15.6999998092651,NA,0.435273408889771,NA,2,1,79621.1116884084,97.9089075716029,33481,156882.82,4685.73,2381740,2,1,0,0,-Inf,0,1,0,1,1,0,1,18,255
4,"1-191",2007,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",8,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,4,3,NA,NA,0,NA,NA,NA,0,4,-0.262278858201715,0.221210596132724,15.6999998092651,NA,0.435273408889771,NA,2,1,85283.9963790545,97.7888821640915,34096,161746.27,4743.85,2381740,2,1,0,2,1,0,1,0,1,1,0,1,18,472
4,"1-191",2008,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",9,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,3,3,NA,NA,0,NA,NA,NA,0,5,0.140072322335485,0.217546003239525,15.6999998092651,NA,0.435273408889771,NA,2,1,113835.048267505,97.5787759999425,34591,165003.98,4770.14,2381740,2,0,0,2,1,0,1,0,1,1,0,1,18,339
4,"1-191",2009,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",10,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,3,2,NA,NA,0,NA,NA,NA,0,6,0.44606288818101,0.219514980854514,15.6999998092651,NA,0.435273408889771,NA,2,1,59092.9922722754,97.7015445495895,35268,169209.48,4797.82,2381740,2,0,0,2,1,0,1,0,1,1,0,1,18,505
4,"1-191",2010,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",11,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,3,3,NA,NA,0,NA,NA,NA,0,5,0.400028405676686,0.219164415307345,15.6999998092651,NA,0.435273408889771,NA,2,1,78794.5345402036,97.3459982110115,35978,174906.19,4861.48,2381740,2,0,0,1,1,0,1,0,1,1,0,1,18,236
4,"1-191",2011,"Algeria","615","Government of Algeria",615,"","","AQIM",1391,"","government","",1,"internal",12,"splinter","GIA",1,1,"Islamic State",0,"no",NA,500,30,2000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"terrorist","no","no","no",NA,"no",NA,NA,NA,"military","United States, Morocco, Chad, Mali, Niger","no",NA,1,0,0,0,0,0,NA,0,"islamist",4747,1,1,0,1,0,0,0,1,0,0,0,0.72,0.72,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,3,NA,NA,0,NA,NA,NA,0,4,0.438575475555269,0.227000947112163,15.6999998092651,NA,0.435273408889771,NA,2,1,110568.538059298,97.1969009695959,36702.29,174906.19,4765.54,2381740,2,0,0,2,2,0,1,0,1,1,0,1,18,267
