"SideBID","DyadId","ConflictId","Year","Location","GWNoLoc","SideA","GWNoA","SideA2nd","GWNoA2nd","SideB","SideB2nd","Incompatibility","TerritoryName","IntensityLevel","TypeOfConflict","rebel_age","origin","origin.name","parent.org.subset","splinter.source","ideology","delete","extraterritorial","rebpolwing","rebpolwinglegal","rebestimate","rebestlow","rebesthigh","rebstrength","centcontrol","strengthcent","mobcap","armsproc","fightcap","terrcont","terrname","effterrcont","conflicttype","transconstsupp","rebextpart","rebpresosts","presname","rebel.support","rtypesup","rsupname","gov.support","gtypesup","gsupname","govextpart","type.of.termination","prevactive","rebpolwing_bin","transconstsupp_bin","rebextpart_bin","rebpresosts_bin","rebel.support_bin","gov.support_bin","govextpart_bin","conflicttype_recode","duration","tot_eth","tot_eth_countries","eth_claim","eth_recruitment","eth_support","excluded","power_sharing","absolute","reg_aut","upgrade","downgrade","maxsize","minsize","monoeth","multieth","noneth","lag_year","new.ep1","new.joiner","new.splinter","new.alliance","new.mono.alliance","new.multi.alliance","splinter","alliance","joiner","originator","DISAP","KILL","POLPRIS","TORT","Amnesty","State","hathaway","ITT","genocide","rummel","massive_repression","executions","killing","additive","latentmean","latentsd","mtnest","Oil","ethfrac","relfrac","country_ethnic","country_excluded","oilpc","oil.pc.exports","pop","realgdp","rgdppc","area","polity2","mediation","cont_interstate","cont_civil","cont_maxint","external_supporters","loot.dia","loot.gem","loot.gold","loot.oil","loot.drugs","lootable","tot.resource.sites","BdBest"
1011,220,"1-10",1987,"Philippines","840","Government of Philippines",840,"","","Military faction (forces of Honasan, Abenina & Zumel)","","government","",1,"internal",0,"military faction","Philippino Army",1,0,"Coup",NA,0,"no",NA,3000,350,6000,"much weaker","yes","moderate","low","low","low","no",NA,NA,"coup d'etat","no","no","no","","no",NA,"",NA,"military","USA","no","low activity",0,0,0,0,0,0,NA,0,"coup d'etat",1434,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,2015,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,NA,0,0,0,NA,NA,0,-1.39955701009744,0.201732242767249,21.2999973297119,0,0.745177149772644,0.299600005149841,4,3,42.0832699195104,1.69008759182984,57046.53,153173.95,2685.07,298170,8,1,NA,NA,NA,0,0,1,1,1,0,1,33,NA
1012,478,"1-11",1946,"Russia (Soviet Union)","365","Government of Russia (Soviet Union)",365,"","","Forest Brothers","","territory","Estonia",1,"internal",0,"military faction","Forest Brothers",0,0,"Secessionist",NA,0,"no",NA,35000,30000,40000,"weaker","no",NA,"moderate","low","low","no",NA,NA,"anti-colonial","no","no","no","","no",NA,"","no",NA,"","no","government victory",0,0,0,0,0,0,0,0,"identity",1095,1,1,1,1,1,1,0,0,0,NA,NA,0.005,0.005,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1999988555908,0,0.666593015193939,0.445599973201752,58,56,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,165,NA
1013,481,"1-12",1946,"Russia (Soviet Union)","365","Government of Russia (Soviet Union)",365,"","","LNPA","","territory","Latvia",1,"internal",0,"military faction","LNPA",0,0,"Secessionist",NA,0,"no",NA,10000,10000,10000,"weaker","yes","moderate","moderate","low","low","no",NA,NA,"anti-colonial",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"government victory",0,0,NA,NA,NA,NA,NA,NA,"identity",364,1,1,1,1,1,1,0,0,0,NA,NA,0.006,0.006,1,0,0,1946,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1999988555908,0,0.666593015193939,0.445599973201752,58,56,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,165,NA
1014,479,"1-12",1946,"Russia (Soviet Union)","365","Government of Russia (Soviet Union)",365,"","","LTS(p)A","","territory","Latvia",1,"internal",0,"alliance","LTS(p)A",0,0,"Secessionist",NA,0,"no",NA,10000,10000,10000,"weaker","yes","moderate","moderate","low","low","no",NA,NA,"anti-colonial",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"government victory",0,0,NA,NA,NA,NA,NA,NA,"identity",364,1,1,1,1,1,1,0,0,0,NA,NA,0.006,0.006,1,0,0,NA,NA,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1999988555908,0,0.666593015193939,0.445599973201752,58,56,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,165,NA
1015,482,"1-13",1946,"Russia (Soviet Union)","365","Government of Russia (Soviet Union)",365,"","","BDPS","","territory","Lithuania",2,"internal",0,"alliance","BDPS",0,0,"Secessionist",NA,0,"no",NA,25000,20000,30000,"weaker","yes","low","moderate","low","low","no",NA,NA,"anti-colonial","no","no","no","","no",NA,"","no",NA,"","no","government victory",0,0,0,0,0,0,0,0,"identity",939,1,1,1,1,1,1,0,0,0,NA,NA,0.01,0.01,1,0,0,NA,NA,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1999988555908,0,0.666593015193939,0.445599973201752,58,56,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,165,NA
1016,483,"1-14",1946,"Russia (Soviet Union)","365","Government of Russia (Soviet Union)",365,"","","UPA","","territory","Ukraine",2,"internal",0,"political organization","UPA",0,0,"Secessionist",NA,0,"explicit link","no",35000,30000,40000,"weaker","yes","moderate","moderate","low","low","no",NA,NA,"anti-colonial",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"government victory",0,1,NA,NA,NA,NA,NA,NA,"identity",1524,1,1,1,1,1,0,1,0,1,NA,NA,0.17,0.17,1,0,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1999988555908,0,0.666593015193939,0.445599973201752,58,56,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,165,NA
1017,668,"1-17",1946,"Vietnam (North Vietnam)","816","Government of France",220,"","","Viet minh","","territory","Vietnam",2,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"explicit link","no",250000,250000,250000,"parity","yes","moderate","high","moderate","moderate","yes","Parts of North Vietnam","moderate","anti-colonial","no","no","no","",NA,"military","USSR; China ","no",NA,"","no","decolonization",0,1,0,0,0,NA,0,0,"identity",2800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,0.261046767234802,0.185800015926361,4,3,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,0,1,1,0,1,7,NA
1018,580,"1-18",1947,"China","710","Government of China",710,"","","Taiwanese insurgents","","territory","Taiwan",2,"internal",0,"civilian gov","Chinese Government",0,0,"Anti-communist; Secessionist",NA,0,"no",NA,NA,NA,NA,"much weaker","yes","low","moderate","low","low","no",NA,NA,"civil war","no","no","no",".","no",NA,"","no",NA,".","no","government victory",0,0,0,0,0,0,0,0,"civil war",21,0,1,1,1,1,0,0,0,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4000015258789,0,0.118452370166779,0.550999999046326,35,35,NA,NA,NA,NA,NA,NA,-5,0,0,3,2,NA,1,1,1,1,1,1,99,NA
1019,689,"1-29",1948,"India","750","Government of India",750,"","","CPI","","government","",2,"internal",1,"political organization","CPI",0,1,"Communist",NA,0,"explicit link","yes",NA,NA,NA,"much weaker","yes","moderate","moderate","low","low","no",NA,NA,"communist rebellion","no","no","no","","no",NA,"","no",NA,"","no","low activity",0,1,0,0,0,0,0,0,"communist rebellion",1199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9000005722046,0,0.886478185653687,0.33840000629425,19,6,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,NA,1,1,1,1,1,1,123,NA
1020,669,"1-21",1947,"Madagascar (Malagasy)","580","Government of France",220,"","","MDRM","","territory","Malagasy",2,"extrasystemic",0,NA,NA,NA,NA,NA,NA,1,"explicit link","yes",5500,5000,6000,"weaker","yes","moderate","moderate","low","low","yes","Parts of Rural Madagascar","moderate","anti-colonial","no","no","no","","no",NA,"","no",NA,"","no","government victory",0,1,0,0,0,0,0,0,"identity",277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,0,0.261046767234802,0.185800015926361,4,3,NA,NA,NA,NA,NA,NA,10,0,0,0,NA,NA,0,0,1,1,0,1,7,NA
1021,306,"1-23",1966,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","KNU","","territory","Karen",1,"internal",0,"alliance","KNA; BKNA; KCO",0,1,"Secessionist",NA,0,"explicit link","no",6000,2000,20000,"much weaker","yes","high","low","low","low","yes","Parts of the Karen Region and Shan State","moderate","secessionist conflict","no","no","extensive","Thailand","alleged","military","Thailand","no",NA,"","no",NA,1,1,0,0,1,1,0,0,"identity",8034,1,1,1,1,1,1,0,0,1,0,0,0.07,0.07,1,0,0,NA,NA,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.44307833017351,0.251047748722033,35.6000022888184,0,0.475504875183105,0.204200029373169,12,11,NA,0.38072393260931,24802,16218.61,653.92,653540,-7,0,0,3,2,NA,1,1,1,1,1,1,76,NA
1022,314,"1-23",2000,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","God's Army","","territory","Karen",1,"internal",0,"splinter","KNU",1,0,"Secessionist",NA,0,"no",NA,200,200,200,"much weaker","yes","moderate","low","low","low","no",NA,NA,"civil war","no","no","no",NA,"no",NA,NA,NA,"military","China","no","government victory",1,0,0,0,0,0,NA,0,"civil war",339,1,1,1,1,0,1,0,0,1,0,0,0.07,0.07,1,0,0,2011,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,5,NA,5,0,NA,NA,NA,1,0,-1.55056917058918,0.227417878596901,NA,NA,NA,NA,12,11,176.415654287685,NA,45611,84390.01,1850.21,653540,-7,0,1,6,2,0,1,1,1,1,1,1,76,46
1023,305,"1-24",1948,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","CPB","","government","",2,"internal",0,"political organization","CPB",1,1,"Communist",NA,0,"explicit link","yes",4000,4000,4000,"weaker","yes","moderate","moderate","moderate","moderate","yes","Much of Burma","moderate","communist rebellion","no","no","some","China",NA,"military","China","no",NA,"","no",NA,0,1,0,0,1,NA,0,0,"communist rebellion",1979,4,1,0,4,4,3,1,0,1,NA,NA,0.68,0.002,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6000022888184,0,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,NA,NA,653540,8,0,1,2,2,NA,1,1,1,1,1,1,76,NA
1024,677,"1-24",1948,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","CPB-RF","","government","",1,"internal",0,"splinter","CPB",1,0,"Communist",NA,0,"explicit link","yes",3000,3000,3000,"weaker","yes","moderate","low","low","low","no",NA,NA,"communist rebellion",NA,NA,NA,".",NA,NA,".",NA,NA,"",NA,"low activity",1,1,NA,NA,NA,NA,NA,NA,"communist rebellion",1008,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,1994,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6000022888184,0,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,NA,NA,653540,8,0,1,2,2,NA,1,1,1,1,1,1,76,NA
1025,678,"1-24",1948,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","PVO - ""White Band"" faction","","government","",2,"internal",0,"political organization","PVO",1,0,"Social Democratic",NA,0,"explicit link","yes",4000,4000,4000,"weaker","yes","high","moderate","moderate","moderate","yes","Parts of central Burma","low","communist rebellion","no","no","no",NA,"no",NA,NA,"no",NA,NA,"no","low activity",0,1,0,0,0,0,0,0,"communist rebellion",2191,1,1,0,1,1,0,1,0,1,NA,NA,0.68,0.68,1,0,0,1970,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6000022888184,0,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,NA,NA,NA,8,0,1,2,2,NA,1,1,1,1,1,1,76,NA
1026,322,"1-24",1990,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","ABSDF","","government","",1,"internal",0,"unorganized","ABSDF",0,0,"Democracy",NA,0,"explicit link","no",2250,500,4000,"much weaker","yes","low","low","low","low","no",NA,NA,"civil war","no","no","some","Thailand","no",NA,"no","no",NA,"","no","low activity",0,1,0,0,1,0,0,0,"civil war",1747,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,1988,0,1,0,0,0,0,0,0,1,0,1,1,0,0,4,4,5,NA,0,NA,NA,NA,0,2,-1.55078947712607,0.214751153692575,35.6000022888184,0,0.475504875183105,0.204200029373169,12,11,NA,NA,41354,44981.1,1087.71,653540,-7,0,1,7,2,0,1,1,1,1,1,1,76,25
1029,312,"1-25",1991,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","RSO","","territory","Arakan",1,"internal",0,"splinter","RPF",1,0,"Secessionist; Islamist",NA,0,"no",NA,5000,300,6000,"much weaker","yes","low","low","low","low","no",NA,NA,"ethnic conflict","no","no","some","Bangladesh",NA,"military","Libya","no",NA,"","no","low activity",0,0,0,0,1,NA,0,0,"identity",1098,1,1,1,1,0,1,0,0,1,0,0,0.02,0.02,1,0,0,NA,NA,0,1,0,0,0,1,0,0,0,1,1,0,0,4,4,4,NA,0,NA,NA,NA,1,2,-1.54237785746642,0.213525991944799,35.6000022888184,0,0.475504875183105,0.204200029373169,12,11,NA,0.239869816452153,41552,44103.93,1061.42,653540,-7,0,1,4,2,0,1,1,1,1,1,1,76,25
1030,683,"1-26",1949,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","MFL-MUF","","territory","Mon",1,"internal",0,"political organization","MFL-MUF",0,0,"Secessionist",NA,0,"explicit link","no",NA,NA,NA,"weaker","yes","low","moderate","low","low",NA,NA,NA,"ethnic conflict","no","no","no",NA,"no",NA,NA,"no",NA,NA,"no","rebels absorbed",0,1,0,0,0,0,0,0,"identity",1094,1,1,1,1,1,1,0,0,0,0,0,0.02,0.02,1,0,0,1996,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,-1.45195142822629,0.293726951322592,35.6000022888184,0,0.475504875183105,0.204200029373169,12,9,NA,NA,NA,NA,NA,NA,8,0,1,2,2,NA,1,1,1,1,1,1,76,NA
1031,684,"1-26",1952,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","MPF","","territory","Mon",1,"internal",0,"alliance","MPF",1,1,"Secessionist",NA,0,"explicit link","no",1111,1111,1111,"much weaker","yes","moderate","low","low","low","yes","Parts of southeastern Burma (later Mon state)","low","ethnic conflict",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"peace agreement",1,1,NA,NA,NA,NA,NA,NA,"identity",2403,1,1,1,1,1,1,0,0,0,0,0,0.02,0.02,1,0,0,1951,0,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,-1.52653572841816,0.259186855270278,35.6000022888184,0,0.475504875183105,0.204200029373169,12,9,NA,NA,19094,7869.6,412.15,NA,8,0,0,0,NA,NA,1,1,1,1,1,1,76,NA
1032,310,"1-26",1959,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","NMSP","","territory","Mon",1,"internal",0,"splinter","MPF",1,1,"Secessionist",NA,0,"explicit link","no",100,100,100,"much weaker","yes","moderate","low","low","low","no",NA,NA,"ethnic conflict",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"low activity",0,1,NA,NA,NA,NA,NA,NA,"identity",1461,1,1,1,1,0,1,0,0,0,0,0,0.02,0.02,1,0,0,NA,NA,0,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,-1.44338290442078,0.252677731222575,35.6000022888184,0,0.475504875183105,0.204200029373169,12,11,NA,NA,21836,10416.99,477.06,653540,8,0,0,3,2,NA,1,1,1,1,1,1,76,NA
1033,326,"1-26",1996,"Myanmar (Burma)","775","Government of Myanmar (Burma)",775,"","","BMA","","territory","Mon",1,"internal",0,"splinter","NMSP",1,0,"Secessionist",NA,0,"no",NA,300,300,300,"much weaker","yes","moderate","low","low","low","no",NA,NA,"ethnic conflict",NA,NA,NA,".",NA,NA,".",NA,NA,".",NA,"government victory",1,0,NA,NA,NA,NA,NA,NA,"identity",8,1,1,1,1,0,1,0,0,1,0,0,0.02,0.02,1,0,0,1990,1,0,1,0,0,0,1,0,0,0,1,1,0,0,4,4,3,5,0,NA,NA,NA,1,2,-1.47317681680819,0.213634325146912,35.6000022888184,0,0.475504875183105,0.204200029373169,12,11,NA,NA,45922,63867.05,1390.77,653540,-7,0,1,7,1,0,1,1,1,1,1,1,76,80
